Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-03-31; 	 13:13:33; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	39;
2020-03-31; 	 13:13:38; 	R dispensed; 	0.06;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	39;
2020-03-31; 	 13:13:38; 	g dispensed; 	2.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	39;
2020-03-31; 	 13:13:38; 	Start quantity; 	-83;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	39;
2020-03-31; 	 13:13:38; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	39;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-03-31; 	 13:30:45; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	40;
2020-03-31; 	 13:31:07; 	R dispensed; 	0.26;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	40;
2020-03-31; 	 13:31:07; 	g dispensed; 	8.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	40;
2020-03-31; 	 13:31:07; 	Start quantity; 	-214;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	40;
2020-03-31; 	 13:31:07; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	40;
2020-03-31; 	 13:31:19; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	41;
2020-03-31; 	 13:32:05; 	R dispensed; 	0;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	41;
2020-03-31; 	 13:32:05; 	g dispensed; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	41;
2020-03-31; 	 13:32:05; 	Start quantity; 	-220;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	41;
2020-03-31; 	 13:32:05; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	41;
2020-03-31; 	 13:32:15; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	42;
2020-03-31; 	 13:32:34; 	R dispensed; 	3.33;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	42;
2020-03-31; 	 13:32:34; 	g dispensed; 	100.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	42;
2020-03-31; 	 13:32:34; 	Start quantity; 	-113;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	42;
2020-03-31; 	 13:32:34; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	42;
2020-03-31; 	 13:32:38; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	43;
2020-03-31; 	 13:32:45; 	R dispensed; 	1.66;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	43;
2020-03-31; 	 13:32:45; 	g dispensed; 	50.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	43;
2020-03-31; 	 13:32:45; 	Start quantity; 	-166;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	43;
2020-03-31; 	 13:32:45; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	43;
2020-03-31; 	 13:32:50; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	44;
2020-03-31; 	 13:32:59; 	R dispensed; 	1.26;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	44;
2020-03-31; 	 13:32:59; 	g dispensed; 	38.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	44;
2020-03-31; 	 13:32:59; 	Start quantity; 	-234;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	44;
2020-03-31; 	 13:32:59; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	44;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-03-31; 	 13:30:47; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	45;
2020-03-31; 	 13:30:54; 	R dispensed; 	34.83;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	45;
2020-03-31; 	 13:30:54; 	g dispensed; 	1045.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	45;
2020-03-31; 	 13:30:54; 	Start quantity; 	-1104;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	45;
2020-03-31; 	 13:30:54; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	45;
2020-05-05; 	 15:51:01; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	46;
2020-05-05; 	 15:51:10; 	R dispensed; 	0.03;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	46;
2020-05-05; 	 15:51:10; 	g dispensed; 	1.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	46;
2020-05-05; 	 15:51:10; 	Start quantity; 	-2150;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	46;
2020-05-05; 	 15:51:10; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	46;
