Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-23; 	 12:28:36; 	R dispensed; 	197.72;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	239;
2020-05-23; 	 12:28:36; 	g dispensed; 	775;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	239;
2020-05-23; 	 15:07:20; 	R dispensed; 	110.55;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	240;
2020-05-23; 	 15:07:20; 	g dispensed; 	434;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	240;
2020-05-23; 	 15:09:39; 	R dispensed; 	0;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	241;
2020-05-23; 	 15:09:39; 	g dispensed; 	0;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	241;
2020-05-24; 	 14:20:54; 	R dispensed; 	37.05;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	242;
2020-05-24; 	 14:20:54; 	g dispensed; 	145;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	242;
2020-05-24; 	 14:21:19; 	R dispensed; 	53.55;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	243;
2020-05-24; 	 14:21:19; 	g dispensed; 	210;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	243;
2020-05-24; 	 14:42:18; 	R dispensed; 	26.53;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	244;
2020-05-24; 	 14:42:19; 	g dispensed; 	104;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	244;
2020-05-24; 	 14:43:16; 	R dispensed; 	28.51;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	245;
2020-05-24; 	 14:43:16; 	g dispensed; 	112;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	245;
